"Short Name","Title","Product Description"
PTOFFACT,Patent application Office actions data (stata (.dta) and MS Excel (.csv)),"Contains detailed information on 4.4 million Office actions mailed from 2008 through June 2017 for 2.2 million publicly viewable patent applications. The data are sourced from the text of Non-Final Rejection and Final Rejection Office actions issued by patent examiners to applicants during the patent examination process. The data files include information on grounds for rejection raised, the claims in question, and pertinent prior art."
PTMNFEE2,Patent maintenance fee events and description files,"Contains recorded maintenance fee events for patents granted from September 1, 1981 to present. Each new weekly file (Tuesday) is cumulative with a file format of ASCII."
PTAPOATH,Patent and patent application Oath Signature data (JSON and PNG),"Contains a research dataset of images of signatures extracted from patent inventor oath documents used for validation of micro entity certifications ranging from SEP 1998 to SEP 2022. It includes 883,811 documents and oath document signature images, is 40.5 GB of total size, and is broken into 8 zip files for the Patent Application Series Codes 12 to 17, 29, and 35. Each of these zip files contain folders for each application number in a given series. The application folders contain the oath document identifier that includes the image(s) of the signature(s) as PNG, and JSON file that contains the application number, the inventor name(s), and confidence level of the signature extraction algorithm."
MCFAPPL,MCF patent application (patent application sequence),"Current U.S. classification information for all patent applications (non-provisional utility and plant) published by the USPTO from March 15, 2001 to present. Approx. 450 main divisions of technology, called classifications/classes, broken into approx. 150,000 subdivisions, called subclassifications/subclasses. Provided in published patent application number sequence with the current U.S. original classification/subclassification and any cross-reference classification/subclassifications with the format of ASCII text."
CPCMCPT,CPC MCF for U.S. patent grants,Contains Cooperative Patent Classification (CPC) classification information for all Utility patent grants issued by the U.S. Patent and Trademark Office (USPTO) from 1790 to present. It is available as XML with schemas or text monthly (usually by the 15th of the month).
CPCMCAPP,CPC MCF for U.S. patent applications,"Contains Cooperative Patent Classification (CPC) classification information for all Utility patent applications published by the U.S. Patent and Trademark Office (USPTO) from March 15, 2001 to present. It is available as XML with schemas or text monthly (usually by the 15th of the month)."
PASDL,Patent assignment daily XML (front file),Contains daily (front file) patent assignment text (no drawings/images) for CY2023 derived from patent assignment recordations made at the USPTO. The file format is eXtensible Markup Language (XML) in accordance with the Patent Assignment Daily XML (PADX) Version 0.3 Document Type Definition (DTD).
PASYR,Patent assignment annual XML (backfile),Contains (backfile - August 1980 - 2022) patent assignment text (no drawings/images) derived from patent assignment recordations made at the USPTO. The file format is eXtensible Markup Language (XML) in accordance with the Patent Assignment Daily XML (PADX) Version 0.3 Document Type Definition (DTD).
ECORSEXC,Patent assignment economics data (stata (.dta) and MS excel (.csv)),Contains detailed information on roughly 9.6 million patent assignments and other transactions recorded at the USPTO since 1970 and involving roughly 16.5 million patents and patent applications. For more information:  http://www.uspto.gov/learning-and-resources/electronic-data-products/data
PTGRDT,Patent grant data/XML,"Contains (JAN 2002 - present) the full text, images/drawings, and complex work units (tables, mathematical expressions, chemical structures, and genetic sequence data) of each patent grant (excludes reexaminations) issued weekly (Tuesdays). The file format is extensible Markup Language (XML) in accordance with the Patent Grant Version 4.5 International Common Element (ICE) Document Type Definition (DTD). "
PTGRDSGM,Patent grant data/SGML,"Contains the full text, images/drawings, and complex work units (tables, mathematical expressions, chemical structures, and genetic sequence data) of each patent grant (excludes reexaminations) issued weekly (Tuesdays) in CY2001. The file format is Standard Generalized Markup Language (SGML) in accordance with the U.S. Patent Grant Version 2.4 Document Type Definition (DTD). "
PTBLXML,Patent grant bibliographic data/XML,Contains (JAN 2002 - present) the bibliographic text (front page) of each patent grant issued weekly (Tuesdays) (excludes images/drawings and reexaminations). The file format is eXtensible Markup Language (XML) in accordance with the Patent Grant International Common Element (ICE) Document Type Definition (DTD).
PTBLAPS,Patent grant bibliographic data/APS,"Contains (JAN 1976 - DEC 2001) the bibliographic text (front page) of each patent grant issued weekly (Tuesdays) (excludes images/drawings and reexaminations). The file format is a subset of the Green Book, ASCII text."
PTBLSGM,Patent grant bibliographic data/SGML,Contains (JAN 2001 - DEC 2001) the bibliographic text (front page) of each patent grant issued weekly (Tuesdays) in CY2001 (excludes images/drawings and reexaminations). The file format is Standard Generalized Markup Language (SGML) in accordance with the U.S. Patent Grant Version 2.4 Document Type Definition (DTD).
PTGRXML,Patent grant full text data/XML,Contains (JAN 2002 - present) the full text of each patent grant issued weekly (Tuesdays) (excludes images/drawings and reexaminations). The file format is eXtensible Markup Language (XML) in accordance with the Patent Grant International Common Element (ICE) Document Type Definition (DTD).
PTGRAPS,Patent grant full text data/APS,"Contains (JAN 1976 - DEC 2001) the full text of each patent grant issued weekly (Tuesdays) (excludes images/drawings and reexaminations). The file format is Green Book, ASCII text and includes tables and ""in-line"" mathematical equations. "
