field_name,type,underscore_case,simple_name
applicationNumberText,search,application_number_text,appl_id
applicationMetaData.nationalStageIndicator,simple,national_stage_indicator,ns_indicator
applicationMetaData.entityStatusData.smallEntityStatusIndicator,simple,small_entity_status_indicator,
applicationMetaData.publicationCategoryBag,simple,publication_category_bag,pub_type
applicationMetaData.docketNumber,search,docket_number,dock_num
applicationMetaData.firstInventorToFileIndicator,simple,first_inventor_to_file_indicator,aia_indicator
applicationMetaData.firstNamedApplicant,search,first_named_applicant,
applicationMetaData.firstNamedInventor,search,first_named_inventor,
applicationMetaData.applicationConfirmationNumber,search,application_confirmation_number,conf_num
applicationMetaData.applicationStatusDate,search,application_status_date,status_date
applicationMetaData.applicationStatusDescriptionText,search,application_status_description_text,status
applicationMetaData.filingDate,search,filing_date,
applicationMetaData.effectiveFilingDate,search,effective_filing_date,
applicationMetaData.issueDate,search,issue_date,
applicationMetaData.groupArtUnitNumber,search,group_art_unit_number,gau_num
applicationMetaData.applicationTypeCode,search,application_type_code,type_code
applicationMetaData.applicationTypeLabelName,search,application_type_label_name,label_name
applicationMetaData.applicationTypeCategory,search,application_type_category,type_category
applicationMetaData.inventionTitle,search,invention_title,title
applicationMetaData.patentNumber,search,patent_number,pat_num
applicationMetaData.applicationStatusCode,search,application_status_code,status_code
applicationMetaData.entityStatusData.businessUnitStatusCategory,search,business_unit_status_category,entity_status
applicationMetaData.earliestPublicationNumber,search,earliest_publication_number,app_early_pub_num
applicationMetaData.publicationDateBag,search,publication_date_bag,pub_date
applicationMetaData.publicationSequenceNumberBag,search,publication_sequence_number_bag,pub_seq
applicationMetaData.wipoReferenceNumber,search,wipo_reference_number,wipo_num
applicationMetaData.wipoPublicationDate,search,wipo_publication_date,wipo_pub_date
applicationMetaData.internationalRegistrationPublicationDate,search,international_registration_publication_date,intl_reg_pub_date
applicationMetaData.internationalRegistrationNumber,search,international_registration_number,intl_reg_num
applicationMetaData.examinerNameText,search,examiner_name_text,examiner_name
applicationMetaData.partyIdentifier,search,party_identifier,party_id
applicationMetaData.class,search,class,
applicationMetaData.subclass,search,subclass,
applicationMetaData.class/subclass,search,class_subclass,cls_sub_cls
applicationMetaData.customerNumber,search,customer_number,cust_num
applicationMetaData.cpcClassificationBag,search,cpc_classification_bag,cpc_class
applicationMetaData.applicantBag,search,applicant_bag,applicant
applicationMetaData.inventorNameText,search,inventor_name_text,inventor_name
assignmentBag.reelNumber/frameNumber,search,reel_number/frame_number,reel_frame
applicationMetaData.assigneeName,search,assignee_name,assignee
applicationMetaData.assignorName,search,assignor_name,assignor
applicationMetaData.caseActionCode,search,case_action_code,
applicationMetaData.caseActionDescriptionText,search,case_action_description_text,
