search_key,api_key,type
app_type_facet,appTypeFacet,str
appl_id,applId,str
total_pto_days,totalPtoDays,str
app_filing_date,appFilingDate,datetime
first_named_applicant_address,firstNamedApplicantAddress,str
app_location_facet,appLocationFacet,str
app_location_date,appLocationDate,datetime
inventor_name,inventorName,str
app_early_pub_date,appEarlyPubDate,datetime
intl_filing_year,intlFilingYear,int
app_exam_mdl_name,appExamMdlName,str
pta_pte_type,ptaPteType,str
corr_addr_name_line_two,corrAddrNameLineTwo,str
app_location,appLocation,str
app_early_pub_number,appEarlyPubNumber,str
wipo_early_pub_date,wipoEarlyPubDate,datetime
id,id,str
text,text,str
app_trans_history_date,appTransHistoryDate,datetime
primary_inventor_city,primaryInventorCity,str
app_exam_last_name,appExamLastName,str
first_named_applicant_name_list,firstNamedApplicantNameList,str
app_pubyear,appPubyear,str
app_sub_cls,appSubCls,str
primary_inventor_country,primaryInventorCountry,str
patent_number_facet,patentNumberFacet,str
app_status,appStatus,str
corr_addr_street_line_two,corrAddrStreetLineTwo,str
pta_pte_ind,ptaPteInd,str
corr_addr_geo_region_na,corrAddrGeoRegionNA,str
first_named_applicant_address_list,firstNamedApplicantAddressList,str
first_inventor_file_facet,firstInventorFileFacet,str
c_delay,cDelay,str
app_status_date,appStatusDate,datetime
app_control_number,appControlNumber,str
pto_adjustments,ptoAdjustments,str
first_inventor_file,firstInventorFile,str
app_grp_art_number_facet,appGrpArtNumberFacet,str
overlap_delay,overlapDelay,str
app_type,appType,str
rank_and_inventors_list,rankAndInventorsList,str
app_status_year,appStatusYear,int
primary_inventor_middle_name,primaryInventorMiddleName,str
pct_app_type,pctAppType,str
app_cust_number,appCustNumber,int
last_updated_timestamp,lastUpdatedTimestamp,datetime
first_named_applicant_facet,firstNamedApplicantFacet,str
wipo_early_pub_number,wipoEarlyPubNumber,str
app_cls_sub_cls,appClsSubCls,str
b_delay,bDelay,str
corr_addr_name_line_one,corrAddrNameLineOne,str
first_named_applicant,firstNamedApplicant,str
app_exam_first_name,appExamFirstName,str
patent_number_str,patentNumberStr,str
app_pct_number,appPCTNumber,str
corr_addr_country_cd,corrAddrCountryCd,str
pto_delay,ptoDelay,str
app_trans_history_desc,appTransHistoryDesc,str
app_entity_status,appEntityStatus,str
app_location_year,appLocationYear,int
corr_addr_country_name,corrAddrCountryName,str
app_early_pub_year,appEarlyPubYear,int
app_exam_name,appExamName,str
public_ind,publicInd,str
app_cls_sub_cls_facet,appClsSubClsFacet,str
app_exam_name_facet,appExamNameFacet,str
primary_inventor_first_name,primaryInventorFirstName,str
pct_app_type_facet,pctAppTypeFacet,str
intl_filing_date,intlFilingDate,datetime
primary_inventor_facet,primaryInventorFacet,str
app_entity_status_txt,appEntityStatus_txt,str
app_grp_art_number,appGrpArtNumber,str
patent_kind_code,patentKindCode,str
app_filing_year,appFilingYear,int
app_attr_dock_number_facet,appAttrDockNumberFacet,str
primary_inventor_region,primaryInventorRegion,str
first_named_applicant_name,firstNamedApplicantName,str
appl_id_txt,appl_id_txt,str
patent_term_json,patentTermJson,str
patent_number,patentNumber,str
last_mod_ts_utc,LAST_MOD_TS_UTC,datetime
app_cls,appCls,str
last_insert_time,LAST_INSERT_TIME,datetime
patent_issue_year,patentIssueYear,int
app_status_txt,appStatus_txt,str
app_cust_number_facet,appCustNumberFacet,str
app_intl_pub_date,appIntlPubDate,datetime
app_early_pub_number_facet,appEarlyPubNumberFacet,str
patent_title,patentTitle,str
appl_delay,applDelay,str
appl_id_str,applIdStr,str
app_pct_number_facet,appPCTNumberFacet,str
app_attr_dock_number,appAttrDockNumber,str
primary_inventor,primaryInventor,str
app_pub_seq_number,appPubSeqNumber,str
corr_addr_street_line_one,corrAddrStreetLineOne,str
ip_office_code,ipOfficeCode,str
a_delay,aDelay,str
rank_and_inventors_list_str,rankAndInventorsList_str,str
app_intl_pub_number_facet,appIntlPubNumberFacet,str
publish_doc_json,publishDocJson,str
rank_and_inventors_address_list,rankAndInventorsAddressList,str
corr_addr_postal_code,corrAddrPostalCode,str
app_intl_pub_year,appIntlPubYear,int
primary_inventor_last_name,primaryInventorLastName,str
patent_issue_date,patentIssueDate,datetime
app_intl_pub_number,appIntlPubNumber,str
app_control_number_facet,appControlNumberFacet,str
corr_addr_cust_no,corrAddrCustNo,str
corr_addr_city,corrAddrCity,str
app_exam_prefrd_name,appExamPrefrdName,str
app_confr_number,appConfrNumber,int
