keyword,query_field,order_by_field,is_date
appl_id,APNR,application_index_sort,
priority_appl_id,PRAN,,
app_early_pub_number,PGNR,publication_reference_document_number,
patent_number,PN,publication_reference_document_number,
publication_number,WKU,publication_reference_document_number,
pct_number,PTAN,,
guid,DID,,
app_filing_date,APD,application_filing_date_sort,X
priority_date,PRAD,related_appl_filing_date_flattened,X
publication_date,PD,date_publ,X
issue_date,PD,date_publ,X
pct_filing_date,PCFD,,X
applicant,AANM,applicant_name_flattened,
applicant_name,AANM,applicant_name_flattened,
assignee,ASNM,assignee_flattened,
assignee_name,ASNM,assignee_flattened,
inventor,IN,applicant_inventor_flattened,
inventor_name,IN,applicant_inventor_flattened,
agent,LRAG,,
cited_reference,RFNR,,
us_reference,URPN,,
foreign_reference,FREF,,
group_art_unit,ART,,
continuity,COND,,
examiner,EXP,,
assistant_examiner,XA,,
family_id,FMID,family_identifier_cur,
patent_title,TTL,invention_title_sort,
title,TTL,invention_title_sort,
abstract,APTX,,
claims,CLM,,
brief_summary,BSTX,,
drawing_description,CHNL,,
detailed_description,DETD,,
description,SPEC,,
us_class,CCLS,,
cpc_inventive_class,CPC,cpc_inventive_flattened,
cpc_additional_class,CPCA,cpc_additional_flattened,
ipc_class,CIPP,ipc_code_flattened,
pages,NPS,page_count_int,
relevance,,score,
